date,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10,Iter_11,Iter_12,Iter_13,Iter_14,Iter_15,Iter_16,Iter_17,Iter_18,Iter_19,Iter_20,Iter_21,Iter_22,Iter_23,Iter_24,Iter_25,Iter_26,Iter_27,Iter_28,Iter_29,Iter_30,Iter_31,Iter_32,Iter_33,Iter_34,Iter_35,Iter_36,Iter_37,Iter_38,Iter_39,Iter_40,Iter_41,Iter_42,Iter_43,Iter_44,Iter_45,Iter_46,Iter_47,Iter_48,Iter_49,Iter_50,Iter_51,Iter_52,Iter_53,Iter_54,Iter_55,Iter_56,Iter_57,Iter_58,Iter_59,Iter_60,Iter_61,Iter_62,Iter_63,Iter_64,Iter_65,Iter_66,Iter_67,Iter_68,Iter_69,Iter_70,Iter_71,Iter_72,Iter_73,Iter_74,Iter_75,Iter_76,Iter_77,Iter_78,Iter_79,Iter_80,Iter_81,Iter_82,Iter_83,Iter_84,Iter_85,Iter_86,Iter_87,Iter_88,Iter_89,Iter_90,Iter_91,Iter_92,Iter_93,Iter_94,Iter_95,Iter_96,Iter_97,Iter_98,Iter_99,Iter_100,Iter_101,Iter_102,Iter_103,Iter_104
2020-02-10,0.437267641598932,0.677594167769921,0.493915597388313,0.456684172246703,0.863339922095079,0.397563497111995,0.538828792595657,0.59662440447115,0.730924213488685,0.781038916361629,0.459540369231688,0.563325677035904,0.465161126646809,0.396836046145614,0.388121797882346,0.624884668676582,1.04540583799098,0.579862352501686,0.417692317765772,0.670664238592542,0.671138098038929,0.689622690213697,0.52196430865131,0.567633005890476,0.434372075316423,0.755882558887338,0.530356409041372,0.446076787284718,0.500824702523028,0.424068389609286,0.644256052802008,0.461024967555662,0.560746517129418,0.500712463771053,0.474491934210497,0.600737675501778,0.520063234049803,0.344815068224461,0.472094780379437,0.575272842555844,0.690880717400699,0.600333268500586,0.67720261556236,0.665264054419606,0.427544069278174,0.924815910590615,0.570947309923871,0.74378357743369,0.618950653747437,0.589561182644297,0.70049247415893,0.761033651991116,0.627424664282901,0.611950795911639,0.440588435189746,0.455110289466369,0.439588206774876,0.381372003478105,0.740433199611715,0.658804938124862,0.787469720677498,1.16994975629838,0.596516259609326,0.622162011675549,0.696296776123936,1.05312983376403,0.694521886292374,0.493794191753222,1.03847955421768,0.681392377682178,0.648369229245708,0.537575497509704,0.561019884068892,0.726539505138541,0.684064535759255,0.490704945012999,0.590602775553414,0.523248672728102,0.915324455017159,0.646317146711789,0.538202402980122,0.440297743591653,0.670586339453974,0.711840982800134,0.670639769861335,0.445804626340154,0.683469294541912,0.725993532328319,0.815766038784023,0.637177337101331,0.820506147502808,0.68776015849521,0.796237383989057,1.20932130597327,0.654167391484664,0.56743742245583,0.75171785314978,0.465670408137149,0.42550831121192,0.960138965547181,0.572908508893337,0.830856887667416,0.476389077333283,0.699366380003197
2020-02-11,2.02688027064813e-14,2.14478901145016e-14,2.40036170041062e-15,0,1.94545566101543e-14,5.76917139289105e-15,2.19109160475421e-14,2.81370811421574e-15,1.08188882623621e-14,6.65082787219534e-15,5.59778340535372e-15,1.77124424041706e-14,2.96694478545855e-15,3.59559343291048e-15,8.89438878138519e-15,2.79302180418432e-14,1.15711539872595e-14,1.27764343998198e-14,7.22955988038047e-15,9.08963985596265e-15,1.14466797946755e-15,4.92835639128816e-15,0,1.37096682513214e-14,4.07318494279145e-15,1.35160487321846e-15,2.69143479758412e-14,4.64636555290499e-15,4.81218558226766e-15,6.53958995960417e-16,3.38043620152128e-15,7.12394716632085e-15,2.17930437194941e-15,1.75024294849847e-15,1.30448959280929e-14,7.36692273789793e-15,1.26223442446955e-14,2.70640196675484e-15,9.45730921497711e-15,5.53602159452098e-15,3.23160442501887e-14,5.88968360193611e-15,5.00834923470358e-15,4.71487402483012e-15,2.30664070076336e-14,1.89698071691723e-14,2.85664122665311e-15,4.08597986179675e-15,1.6400886000854e-14,4.16758305422184e-15,7.86705554779619e-15,2.86807895155023e-14,1.92944795477812e-16,1.41650047441336e-14,6.06880896136037e-15,1.98516076042064e-15,1.70476026994835e-14,1.66943161991789e-14,3.71996546420058e-14,7.62856138706271e-15,1.47743495605432e-15,0.0321037062240307,1.35113633284803e-14,3.67915906235111e-15,2.30024099575686e-14,0.00494899972038383,4.41544476798431e-15,1.21843796319057e-14,1.6724354243993e-14,6.93052263477356e-16,1.54633013549611e-14,1.96005499484487e-14,6.18806596254528e-15,3.64899221948988e-15,8.41149284870354e-15,5.15167975481352e-15,5.70644652647967e-15,5.57821549440725e-15,6.56082051084433e-14,3.25237395590613e-15,2.60060769906702e-15,9.85790734890978e-15,5.03660200136356e-15,3.93058858553319e-14,4.93178308103296e-15,2.24597906247297e-14,6.52293613392531e-15,1.82341003656345e-14,2.29459459937103e-15,2.98491388186539e-15,3.56459567093332e-14,2.36988707784207e-14,2.37132140972417e-14,0.0356895344760979,9.07767388683507e-15,3.53410664408915e-14,3.32609751605606e-15,3.63904872433108e-15,4.60279630455415e-15,0.00741553890875921,1.20739566089475e-14,3.14139943220103e-14,7.56360791253011e-15,1.60686387767856e-15
2020-02-12,9.45877459672723e-15,5.71943736395654e-15,6.00090425142948e-15,4.44105340269223e-15,4.42149013975167e-15,0,2.02878852304873e-14,6.02937453079141e-16,3.81119927464881e-15,2.10609549323946e-14,1.3994458514185e-15,6.74759710676578e-15,2.17575950964684e-14,3.08193722842702e-15,6.11489228777884e-15,3.04693287752139e-14,2.6613654171997e-14,4.25881146815857e-15,2.40985329351634e-15,2.42390396167232e-14,1.60253517157232e-14,4.92835639148176e-15,1.00550316624199e-14,1.86950021618249e-15,1.15406906717638e-14,8.1096292407699e-15,0,9.78182221704861e-15,6.87455083210927e-16,2.40656910544534e-14,0,7.77157872727628e-15,1.16229566518719e-14,3.50048589782925e-15,8.50754082312312e-15,2.02590375329324e-14,1.97224128831758e-14,3.09303081936903e-15,9.45730921571999e-15,1.10720431924453e-14,5.09328958356776e-15,5.88968360239447e-15,1.00166984703902e-14,1.10013727256504e-14,1.82103213221817e-15,1.89698071705668e-14,3.28513741100652e-14,1.38923315318586e-14,7.02895114397731e-15,4.76295206234789e-15,1.23625158613486e-14,1.91205263449016e-14,2.16098170953871e-14,5.96421252462412e-15,3.03440448131936e-15,5.45919209154021e-15,3.19642550634655e-15,1.66943162002424e-14,1.13216340223217e-14,1.52571227750431e-14,3.39810039908037e-14,1.82652244189085e-14,3.37784083265057e-15,0,1.15012049796036e-14,1.94142560839982e-14,2.94362984569348e-15,2.43687592656984e-14,1.67243542447516e-14,5.54441810890277e-15,1.22078694925495e-14,0,1.11385187345596e-14,8.51431517942874e-15,5.2571830307096e-15,2.06067190224824e-14,8.96727311627377e-15,1.30158361543844e-14,1.42626532866275e-15,4.8785609344032e-15,1.62537981214921e-14,1.23223841866405e-14,4.3170874309984e-15,1.24123850089242e-14,1.35624034733374e-14,1.53134936110774e-15,8.30191871602142e-15,2.0720568599661e-16,9.17837839813794e-15,3.73114235272205e-15,2.45065952444217e-14,1.29266567892223e-14,4.31149347240791e-15,2.98618247859484e-14,4.12621540401159e-15,7.44022451511377e-15,5.82067065333886e-15,2.07945641396412e-15,1.38083889160391e-14,8.34130546600966e-15,1.20739566092573e-14,1.151846458573e-14,7.56360791325127e-16,4.01715969452752e-15
2020-02-13,7.43189432640947e-15,5.89816978170947e-15,3.12047021102978e-14,1.61492851021224e-15,2.65289408474078e-14,1.82690427489622e-14,1.54187927764308e-14,6.4313328333044e-15,1.96707059364757e-15,8.31353484376834e-15,1.02626029112108e-14,2.53034891526031e-14,8.90083435932775e-15,2.05462481914931e-15,8.89438878330131e-15,8.88688756035685e-15,1.73567309828687e-15,2.12940573512882e-15,2.10862163189344e-14,4.03983993631801e-15,5.72333990002091e-16,4.92835639173922e-15,5.53026741548141e-15,7.47800086523263e-15,5.0914811790376e-15,1.75708633592243e-14,2.92547260655697e-15,5.86909333057635e-15,0,1.9880353483147e-14,3.06352030807821e-15,3.88578936389577e-15,2.76045220528072e-14,2.10029153935391e-14,2.60897918595334e-14,2.76259602788565e-15,4.73337909224734e-15,7.7325770491687e-16,1.71951076668142e-15,1.18629034252752e-15,9.83531781828379e-15,2.01932009245608e-14,1.07321769339496e-14,3.14324935058581e-15,9.10516066134632e-15,1.98320711348515e-14,6.4274427615821e-15,1.14407436163723e-14,3.51447557250546e-14,2.38147603144514e-15,1.68579761755531e-14,9.56026317325602e-16,2.31533754620216e-14,5.96421252569658e-15,3.03440448219046e-15,1.98516076075018e-15,1.06547516887525e-15,4.45181765376826e-15,2.26432680469103e-14,9.70907813033527e-15,3.6935873905345e-15,1.56559066472833e-14,8.44460208338494e-16,1.47166362518993e-14,4.92908784887343e-14,2.0708539824061e-14,2.20772238463002e-14,1.86827154389938e-14,4.77838692738688e-15,1.38610452759879e-14,3.25543186532732e-15,9.80027497497291e-15,3.71283957906886e-15,9.12248055025034e-15,3.36459713989425e-15,7.02501785002658e-15,1.38585130044665e-14,1.85940516505766e-15,1.14101226315444e-14,4.87856093514827e-15,2.60060769993694e-15,2.83414836308622e-14,0,1.57740726187523e-14,8.32238394997356e-15,6.12539744614798e-15,0,3.14952642765659e-14,9.17837839901865e-15,2.23868541194475e-14,2.22787229571623e-15,1.83127637865422e-14,1.5090227154315e-14,1.08588453796964e-14,4.1262154052012e-15,6.51019645215286e-15,1.33043900655493e-14,4.93870898336447e-15,4.60279630641461e-15,2.50239164052525e-15,0,8.37706515424454e-15,0,6.42745551192824e-15
2020-02-14,3.10788308217521e-14,1.71583120927327e-14,6.00090425267515e-15,8.88210680721069e-15,9.72727831483967e-15,1.44229284888218e-14,3.24606163746008e-15,8.84308264655923e-15,5.40944413347717e-15,1.3301655754117e-14,4.19833755500514e-15,1.85558920473995e-14,5.9338895742543e-15,1.54096861454768e-14,1.22297845787954e-14,0,5.32273083517496e-14,5.32351434108721e-15,9.63941317475267e-15,1.2119519809738e-14,2.2893359607864e-15,1.23208909801378e-14,0,0,7.46750572985032e-15,2.0274073112802e-15,3.51056712830102e-15,1.76072799930946e-14,3.4372754165611e-15,5.23167197033171e-16,5.91576335420541e-15,9.06684184984116e-15,8.71721749213058e-15,1.40019436010114e-14,1.24777265427266e-14,5.52519205739523e-14,3.62892397100827e-14,8.50583475510771e-15,1.82698018985198e-15,9.49032274486603e-15,2.66958626555957e-14,0,1.43095692475232e-15,2.35743701331097e-14,2.42804284311324e-15,8.62263962493062e-16,1.42832061393232e-15,1.2257939591444e-14,9.22549837954637e-15,7.14442809540243e-15,3.37159523536094e-15,6.69218422195979e-15,1.85227003722546e-14,8.94631879058483e-15,7.58601120820425e-16,7.94064304395476e-15,1.49166523659825e-14,2.22590882710738e-15,2.42606443389883e-14,8.3220669696451e-15,8.12589225981113e-15,1.76128949816948e-14,3.37784083421478e-15,5.51873859515251e-15,9.03666105734539e-15,1.55314048691546e-14,1.76617790804896e-14,6.49833580571542e-15,1.19459673195204e-14,1.52471498087861e-14,3.25543186613597e-15,1.14336541381011e-14,1.67077781107052e-14,3.64899222051382e-15,8.41149285050515e-15,4.68334523452914e-16,2.44561994337674e-15,2.04534568175923e-14,5.70506131710715e-15,6.50474791478396e-15,5.85136732624356e-15,9.8579073505661e-15,1.79878643115555e-14,1.65498466860306e-14,1.063415727011e-14,1.27612446837733e-16,7.11593032831909e-15,0,2.46668919503052e-14,3.73114235388002e-15,2.45065952626962e-14,1.29266567920257e-14,7.54511357772517e-15,5.42942269167528e-15,2.47572924398653e-15,1.39504209726173e-14,1.16413413082351e-14,7.27809744954465e-15,1.01261518770295e-14,3.33652218856947e-15,3.44970188862208e-15,2.61783286109049e-16,9.07632949842391e-15,1.20514790863977e-14
2020-02-15,4.72938729937341e-15,2.14478901166576e-14,1.80027127604971e-14,1.61492851063892e-15,1.06115763487944e-14,6.73069996300505e-15,4.86909245672333e-15,6.02937453233842e-16,1.08188882691324e-14,1.1084713132444e-14,8.86315706161671e-15,3.87986833774114e-14,2.37355583033072e-14,0,6.6707915895013e-15,1.777377512581e-14,1.15711539905949e-14,2.12940573795889e-15,3.61477994070245e-15,6.05975990535516e-15,1.3163681779794e-14,6.77649003957672e-15,1.50825475048504e-14,0,8.14636988788716e-15,2.97353072423083e-14,7.02113425763947e-15,1.76072799947762e-14,3.16229338357014e-14,1.56950159147168e-14,4.64809977896079e-15,1.48955258976184e-14,1.08965218676955e-14,4.02555878704187e-14,6.23886327209901e-15,1.10503841185036e-14,4.73337909307588e-15,1.04389790190989e-14,9.45730921962352e-15,2.37258068753488e-14,1.68605448395941e-14,0,1.43095692501134e-15,1.57162467583003e-14,8.49814995126563e-15,2.58679188786044e-14,6.42744276396329e-15,9.80635167541068e-15,1.28864104377897e-14,1.30981181773083e-14,3.37159523565921e-15,1.14723158104006e-14,8.48957100534786e-15,1.71471110199404e-14,1.66892246650966e-14,1.48887057095205e-14,2.0244028213895e-14,1.22424985504841e-14,8.89556959224847e-15,9.70907813228903e-15,2.06840893905227e-14,9.45877693681385e-15,5.06676125280869e-15,2.02353748519161e-14,6.1613598126895e-16,1.29428373920979e-15,1.03027044658886e-14,2.43687592751453e-15,2.2697337909599e-14,1.94054634008605e-14,2.5433061461592e-15,1.14336541388456e-14,2.47522638761072e-15,8.51431518228592e-15,1.34583885622913e-14,5.62001428304913e-15,3.26082659331429e-15,1.3945538740799e-14,1.56889186261721e-14,3.25237395813386e-15,1.49534942822902e-14,1.23223841892541e-15,5.75611658292117e-15,1.03436541816189e-15,1.35624034759996e-14,4.08359830036591e-15,2.2533779373628e-14,3.81258462475394e-14,1.37675676020894e-14,1.41783409475567e-14,6.40513285556087e-15,6.46332839687191e-15,2.15574673668738e-15,2.13783518567363e-14,1.65048616331529e-15,7.44022452099836e-15,8.31524379236179e-16,1.1437010278565e-14,5.06307594021397e-15,2.50239164248369e-14,6.8994037775799e-15,4.18853257848425e-15,9.83269029167482e-15,3.69578692035712e-14
2020-02-16,2.70250702848478e-15,1.64433824234318e-14,6.00090425442948e-16,1.85716778755819e-14,7.07438423653356e-15,1.05768142303411e-14,6.49212327639072e-15,3.21566641758944e-15,3.44237354093577e-15,6.65082788216034e-15,9.32963901347576e-16,2.36165898858891e-14,2.76914846952205e-14,4.1092496400187e-15,1.66769789765856e-14,9.83905408923649e-15,1.15711539917981e-14,7.45292008876763e-15,1.20492664696516e-15,3.43386394669247e-14,8.0126758695548e-15,5.5444009419217e-15,9.5522800893394e-15,1.37096682569141e-14,0,1.35160487516117e-14,1.28720794745104e-14,3.42363777714529e-15,1.58114669198388e-14,4.18533757834291e-15,1.69021810172102e-15,5.18105248669384e-15,7.26434791363852e-16,8.31365402066785e-15,0,0,1.7355723343232e-14,7.73257705239298e-16,9.8871869132873e-15,3.63795705640054e-14,1.54554994409439e-14,5.04830023325486e-15,1.21631338650045e-14,1.88594961138325e-14,3.64206426500939e-15,1.03471675531416e-14,9.998244301633e-15,3.26878389261786e-15,4.68596743311114e-15,0,1.34863809439894e-14,9.56026317653245e-16,1.08049085542187e-14,1.41650047599525e-14,5.1584876261864e-14,4.96290190395854e-16,9.18972333550495e-15,4.45181765526976e-15,1.2130322173188e-15,3.19012567240371e-14,1.40356320878891e-14,3.91397666452431e-14,8.44460209073266e-16,1.47166362584374e-14,1.23227196273155e-14,3.88285121802774e-15,8.09498208225788e-15,1.70581314954842e-14,3.22541117705254e-14,0,8.13857967034882e-15,4.08344790702779e-16,3.71283958280269e-15,1.64204649966526e-14,9.25264213774411e-15,1.31133666645376e-14,1.63041329781828e-15,2.04534568222885e-14,4.63536232267953e-15,1.78880567743337e-14,1.43033423613215e-14,5.54507288570081e-15,4.31708743985282e-15,2.58591354616714e-14,9.24709327993327e-15,4.08359830205186e-15,2.07547967921345e-14,1.65764548953029e-15,4.58918920140767e-15,2.83566819013291e-14,2.45065952846967e-14,2.15444279926543e-15,2.15574673690885e-15,2.71471134803359e-15,9.07767390215143e-15,3.7201122617376e-15,1.66304875864969e-15,1.76753795226711e-14,9.20559262199303e-16,2.50239164365969e-15,1.72485094448767e-15,4.18853257932115e-15,6.05088633449087e-15,8.83775133264373e-15
2020-02-17,1.28369083867311e-14,1.00090153886258e-14,7.05106250014147e-15,4.03732127810078e-16,3.53719212042846e-15,6.73069996666677e-15,1.94763698315121e-14,3.61762472018779e-15,1.3769494166915e-14,1.66270697126216e-14,9.32963901482628e-16,1.34951942230747e-14,2.96694478967858e-14,1.0273124101764e-14,1.55651803808439e-14,8.88688756617564e-15,0,2.44881660265881e-14,1.4459119764427e-14,6.05975990657492e-14,3.43400394574836e-15,2.4641781966204e-15,1.00550316761873e-15,1.37096682585203e-14,5.43091325983042e-15,2.70320975140309e-15,8.77641782515443e-15,2.4454555554121e-15,1.92487423399599e-14,9.94017675127769e-15,7.6059814591691e-15,6.47631560913023e-16,1.59815654142578e-14,5.25072885778342e-14,8.50754082803934e-15,2.21007682535444e-14,3.62892397222509e-14,8.50583475905276e-15,1.28963307591156e-14,1.89806455234254e-14,1.40504540418188e-15,1.34621339575016e-14,1.43095692559263e-15,1.17871850737446e-14,1.39612463499661e-14,9.48490359204343e-15,1.71398473780271e-14,4.90317584019551e-15,3.07516612883348e-15,1.19073801665901e-15,1.06767182484906e-14,2.29446316266791e-14,7.71779182592005e-15,5.96421253249599e-15,3.03440448752025e-15,9.92580380960239e-16,4.26190067815877e-15,3.33886324188054e-15,2.42606443504925e-14,4.16103348623614e-15,1.16348002846966e-14,7.82795333122553e-15,5.91122146552109e-15,3.67915906529055e-15,4.27187613819493e-14,1.42371211344078e-14,1.03027044708491e-14,1.38089635940654e-14,6.21190300859359e-14,8.31662717970462e-15,1.13940115424365e-14,9.80027497763123e-15,2.22770375056101e-14,0,8.41149285366467e-15,1.87333809554288e-15,2.44561994853501e-15,2.04534568248527e-14,1.42626533047315e-14,6.50474791974888e-15,5.20121540579619e-15,1.72513378684558e-14,2.87805829510923e-15,6.20619251268452e-15,8.63062039547097e-15,1.0208995759523e-14,4.74395355264381e-15,1.16035184307064e-14,1.14729730054174e-15,5.9698277700922e-15,8.91148919855443e-15,7.54054979854723e-15,5.38936684287659e-15,2.71471134923501e-14,2.8883507883432e-15,1.30203929206367e-14,6.65219503538758e-15,1.97548359386401e-14,9.20559262563162e-15,9.17543603135343e-15,1.89733603904485e-14,1.88483966110431e-14,4.53816475177677e-15,3.21372775783317e-15
2020-02-18,1.21612816309833e-14,5.71943736520778e-15,3.30049734107563e-15,1.00933031974527e-14,3.18347291041395e-14,1.05768142364646e-14,1.01439426217903e-15,1.52744154869303e-14,1.9670705957315e-15,4.9881209160279e-15,5.59778340974317e-15,2.02427913388032e-14,1.97796319373357e-15,5.1365620517648e-15,1.11179859882207e-15,2.79302180707605e-14,1.85138463910605e-14,0,1.3254193118215e-14,5.25179191964355e-14,9.15734385990095e-15,6.16044549208823e-16,5.02751583969489e-16,2.49266695639786e-15,1.0861826521035e-14,9.46123413378008e-15,3.51056713075205e-15,1.85854622236864e-14,2.74982033471608e-15,8.3706751613033e-15,1.94375081773971e-14,2.97910518056688e-14,0,9.62633624417654e-15,3.97018572039879e-15,2.02590375735917e-14,8.67786167390266e-15,5.79943279126442e-15,6.87804307302354e-15,2.37258069189895e-14,1.5455499451323e-14,1.47242090183977e-15,2.43262677402342e-14,1.49304344301727e-14,4.85608568722671e-15,3.70773504119587e-14,7.14160307576571e-15,4.49457785467919e-15,1.64008860252856e-14,3.57221405090038e-15,0,9.56026317904701e-15,6.17423346194515e-15,5.2186859677629e-15,7.20671066160969e-15,3.97032152454029e-15,7.99106377323812e-15,5.56477207052118e-15,6.46950516125607e-15,4.16103348672672e-15,1.47743495696217e-15,1.2394259444685e-14,9.28906230618879e-15,5.51873859901316e-15,1.56087782000297e-14,5.17713495861326e-15,1.17745193981382e-14,2.4368759288149e-14,8.3621771283465e-15,1.87124111639806e-14,2.44157390282396e-15,1.63337916307045e-14,4.33164618339395e-15,1.82449611124901e-14,5.04689571294656e-15,5.62001428846931e-15,1.73231413149528e-15,7.43762066452608e-15,1.85414493016184e-14,0,2.6006077037608e-15,3.69671525794368e-15,2.01464080791449e-14,7.24055793365573e-15,0,3.57314851738805e-15,1.18598838820155e-15,6.63058196288869e-15,8.03108110516376e-15,8.95474165728831e-15,1.22532976535445e-14,1.07722139995317e-14,4.74264282229222e-14,6.24383610603786e-14,8.25243082755106e-16,2.0460617454008e-14,1.33043900724714e-14,5.19864103691419e-15,9.20559262937168e-16,1.00095665848292e-14,3.10473170043809e-14,1.98955297606579e-14,1.51272158423431e-15,1.5265206852119e-14
2020-02-19,2.56738167797006e-14,1.14388747310044e-14,1.20018085151744e-15,2.01866063996088e-15,2.47603448747437e-14,1.44229285086081e-14,9.73818491804284e-15,0,7.86828238472243e-15,0,1.77263141335797e-14,6.74759711441194e-15,1.58237055547431e-14,3.0819372315874e-15,6.11489229452842e-15,1.39651090382672e-14,4.62846159830135e-15,5.32351436279217e-16,6.02463323594101e-15,6.05975990802945e-15,1.14466798306312e-14,1.23208909852417e-15,1.38256685634479e-15,1.37096682618744e-14,1.56138756260271e-14,9.46123413762783e-15,1.75528356573284e-14,6.3581844458725e-15,1.37491016759197e-14,1.15096783499841e-14,4.22554525686776e-15,2.59052624429637e-15,4.3586087516932e-15,4.59438775522988e-15,1.13433877745027e-14,4.60432672302575e-15,3.94448257961862e-16,3.09303082254469e-15,3.33155211423978e-15,3.63795706310187e-14,4.21513621548372e-15,1.00966004713622e-14,1.14476554095764e-14,1.72878714494963e-14,1.2140214218794e-15,2.58679188967325e-15,1.57115267700879e-14,1.55267235019086e-14,1.75723778896027e-14,8.33516612102544e-15,1.29244484090746e-14,6.69218422620412e-15,2.16098171210169e-14,3.4294222086147e-14,1.51720224534121e-15,1.19109645757362e-14,1.27857020400592e-14,1.66943162136885e-14,2.26432680683132e-14,4.16103348720194e-15,2.068408939998e-14,0,3.20894879779405e-14,1.74760055670376e-14,3.12175564057404e-14,5.69484845522493e-14,2.20772238767704e-15,3.24916790568628e-15,1.19459673283465e-14,5.54441812555583e-15,3.25543187159962e-15,2.45006874480458e-15,1.17573253596396e-14,4.86532296398244e-15,2.01875828548852e-14,9.36669048378674e-16,1.22280997605423e-15,7.43762066545349e-15,8.55759198784156e-15,1.13833088662528e-14,3.25075963077879e-15,4.31283446810608e-15,1.72683497934863e-14,2.0687308387949e-14,6.16472885525045e-16,2.3480690267201e-14,2.8167224220765e-15,5.80175921982951e-15,1.60621622130805e-14,2.08943972053739e-14,2.22787230160223e-15,4.30888560044336e-15,4.958217496633e-14,0,3.30097233246825e-15,8.37025259778453e-15,1.33043900742441e-14,1.97548359419641e-14,1.28878296863523e-14,3.83700052616688e-14,1.37988075583195e-14,3.14139943663116e-15,6.05088633816455e-15,3.21372775883477e-15
